wordID,word,sentiment
787,boggle,-1
788,bogus,-1
789,boil,-1
790,boiling,-1
791,boisterous,-1
792,bold,1
793,boldly,1
794,boldness,1
795,bolster,1
796,bomb,-1
797,bombard,-1
798,bombardment,-1
799,bombastic,-1
800,bondage,-1
801,bonkers,-1
802,bonny,1
803,bonus,1
804,bonuses,1
805,boom,1
806,booming,1
807,boost,1
808,bore,-1
809,bored,-1
810,boredom,-1
811,bores,-1
812,boring,-1
813,botch,-1
814,bother,-1
815,bothered,-1
816,bothering,-1
817,bothers,-1
818,bothersome,-1
819,boundless,1
820,bountiful,1
821,bowdlerize,-1
822,boycott,-1
823,brag,0
824,braggart,-1
825,bragger,-1
826,brainiest,1
827,brainless,-1
828,brains,1
829,brainwash,-1
830,brainy,1
831,brand-new,1
832,brash,-1
833,brashly,-1
834,brashness,-1
835,brat,-1
836,bravado,-1
837,brave,1
838,bravery,1
839,bravo,1
840,brazen,-1
841,brazenly,-1
842,brazenness,-1
843,breach,-1
844,break,-1
845,break-point,-1
846,break-up,-1
847,break-ups,-1
848,breakdown,-1
849,breaking,-1
850,breaks,-1
851,breakthrough,1
852,breakthroughs,1
853,breakup,-1
854,breakups,-1
855,breathlessness,1
856,breathtaking,1
857,breathtakingly,1
858,breeze,1
859,bribery,-1
860,bright,1
861,brighten,1
862,brighter,1
863,brightest,1
864,brightness,1
865,brilliance,1
866,brilliances,1
867,brilliant,1
868,brilliantly,1
869,brimstone,-1
870,brisk,1
871,bristle,-1
872,brittle,-1
873,broad,1
874,broad-based,0
875,broke,-1
876,broken,-1
877,broken-hearted,-1
878,brood,-1
879,brook,1
880,brotherly,1
881,browbeat,-1
882,bruise,-1
883,bruised,-1
884,bruises,-1
885,bruising,-1
886,brusque,-1
887,brutal,-1
888,brutalising,-1
889,brutalities,-1
890,brutality,-1
891,brutalize,-1
892,brutalizing,-1
893,brutally,-1
894,brute,-1
895,brutish,-1
896,bs,-1
897,buckle,-1
898,bug,-1
899,bugging,-1
900,buggy,-1
